hiragana,reading,priority,description,status,filename,page_url,image_url,timestamp
え,え,1,絵（キャンバスに描かれた絵）,success,e_01.png,https://www.irasutoya.com/2014/07/blog-post_2.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5qpWF5MNwpoX3W95OfYu-La7AOAvEqN9jdh8KkfXoTutld45ndsgef_H1zRRdPNhhE3YjRYLaD0ZB5WQc1hVH7vHreXznjoOBbOVA2XmcF5x8dYOqSf4RpRggrH-ZHl70SadewOQLPmI/s800/hinamatsuri_gyuusya.png,2026-01-12T22:28:11.519795
え,え,2,絵を描く子供,url_not_found,e_02.png,https://www.irasutoya.com/2013/10/blog-post_4tried.html,,2026-01-12T22:28:13.869551
え,え,3,クレヨンで絵を描く,success,e_03.png,https://www.irasutoya.com/2016/11/blog-post_83.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjM9QJB5sBfIyiT7tixWW5Y_Mnjd8VPuAeh2oZWqhBMl0IhtKZkqVqK-ttpqMMqtproUfrEYYHDDSQVeDNvEHlBNrICy3E-tCN8m2WWhtUITKc7-zRE_Bt4AAt4MvC09kjrCL19HpoRg9zk/s800/car_road_syasenhenkou.png,2026-01-12T22:28:17.876570
え,えほん,1,絵本（閉じた本）,success,ehon_01.png,https://www.irasutoya.com/2013/05/blog-post_31.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgLVCU485NRqXjXj2yyrwm-Btv8zn91UKcUhulFqT0sd8nSi0XbEanAfWCg_wtxpECB5y_8RBGgIcYs_F5Z7qDExdEmrOBgkEOv1R33sx2fOXxxj3Crk4z0iC7vA6p-T7qrsJ7ieM5Utv22/s800/kome_tawara.png,2026-01-12T22:28:22.382138
え,えほん,2,飛び出す絵本,success,ehon_02.png,https://www.irasutoya.com/2017/09/blog-post_897.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEia9opKbYbbsCFmdrHVqvAOFTmfvoITHKM0RBOUOxfSHrqrVPR2uJVqeK9ZWsMtystNd1rIYLfD2P6F7kX6ihUf2LVmzBzi4066D4jG8l_eywFfwD0AXNl_kmezQgLqkH6Y84P6vQ5Vr4c/s800/book_tobidasu_ehon.png,2026-01-12T22:28:26.798131
え,えほん,3,絵本を読む男の子,success,ehon_03.png,https://www.irasutoya.com/2014/04/blog-post_568.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEip4_qgO_Bwz7PysTCiacXZt7GKTmsEKoy0-ZTZ0lgBauyZRkMGny7Frbx_-y8QVV2fWfOhqXmCFRxIUgJetXsfFSXr_PP5GDpFSQlBV0UuWg1fV0Z6E-nJ23Ek_BcW00U8igBToT6fpho/s800/ehon_boy.png,2026-01-12T22:28:30.488340
え,えほん,4,絵本を読む女の子,success,ehon_04.png,https://www.irasutoya.com/2014/04/blog-post_2077.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg-HLP0rF_eQU3yEtu0Wmpxj82PXik_PVdrJLtW5oJ1OiyUQ7Knrcj1nd-cdj2rt5kSxeD2yZtYZbICgO9Rc6Jafx3X-BE43Y-2QEJnaOaSI_knaHf2HawQHm9bbFBIRFlh3_opQILLovc/s800/ehon_girl.png,2026-01-12T22:28:33.924786
え,えんぴつ,1,鉛筆マーク（シンプル）,success,enpitsu_01.png,https://www.irasutoya.com/2018/05/blog-post_583.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjh7FUsguv3kj27LTMzGyR8dpworfflB1hRI5Vo2IEcPY1pMu7zvJDaMbXZzLImcBRp8XHxpszNgfmhHiC7oK33otMC0IbPBYW0fcWT5HdWvMPyH9Ryfv40Ux1RJhyphenhyphenTp3_wmEcM5Qw7sQE/s800/pen_enpitsu_mark.png,2026-01-12T22:28:37.458901
え,えんぴつ,2,鉛筆（文房具）,success,enpitsu_02.png,https://www.irasutoya.com/2013/02/blog-post_4.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgwZ-x9DIsWzDuTYPf-W1SySCLnkptD8r6zaHqEeMGQsMIBdhSw1POEv8NAnFAqLtF9liywNvXhcYe1CpNwyTJgxdr6iwt9lUPepurb3oBjOg4civYjQ4Stqzt1sasoxCwIhjfyaSuttkI/s800/kenkoushindan_taijyu.png,2026-01-12T22:28:41.559423
え,えんぴつ,3,鉛筆1ダース,success,enpitsu_03.png,https://www.irasutoya.com/2021/06/1_01641767925.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEivo8ZsdskqOh4TR3IC57GXmQclFhb8vS0Gz-uDuqBPv79oARtR-YHuiDU24RuKovDdc5oqehuaIcv8i_K19i66wT4Ds1veeIWN5rX11NMGOB89N2Q4rC5IBOAn7BAePwiGJ0oOVfYuaJ7p/s800/bunbougu_pencil_dozen.png,2026-01-12T22:28:45.475368
